Informativeness,Sentence
Informative,"Abbas, however, took part in a negotiating process launched at Annapolis in late 2007 by Obama's predecessor George W. Bush."
Informative,Abbas is fighting a perception among his people that he repeatedly caves in to U.S. demands.
Informative,"Abbas spokesman Nabil Abu Rdeneh, responding to Clinton's comments, said, ""There can be no excuse for the continuation of settlements, which is really the main obstacle in the way of any credible peace process."
Informative,Abbas suspended negotiations over Israel's offensive last December in the Gaza Strip.
Informative,"Abdullah canceled a planned trip to the Indian capital, Delhi, to attend a conference there Saturday."
Informative,"Abdullah complained Monday that there were no assurances that the November vote would be fairer than the first balloting and demanded that the head of the Karzai-appointed Independent Election Commission, Azizullah Lodin, be fired."
Informative,Abdullah has called a press conference for 10 a.m. Sunday to announce his final decision after Afghans and Westerners close to the challenger said he would withdraw.
Informative,A board of inquiry blamed the crash on several factors and ordered removal of the strobe lights.
Informative,"About 40 guests were at the Halloween party, aged between 59 and 77."
Informative,"About 40 miles from Laheri, a processing plant owned by Essar Steel has been closed for five months."
Informative,"About 60 oiled birds, about half that had died, were found at that site, according to the East Bay Regional Park District."
Informative,"About 75 percent of members voting nationwide rejected the deal, one of the people said."
Informative,"About a month ago, a woman accused Sowell of rape and felonious assault, Stacho said Friday."
Informative,"A British nuclear expert who fell from the 17th floor of a United Nations building did not commit suicide and may have been hurled to his death, says a doctor who carried out a second post-mortem examination."
Informative,A Canadian study showed marathoners' blood post-race was like that of a mild heart attack victim.
Informative,"Accident investigators who began arriving in San Diego on Saturday would review communications between the pilots and between the pilots and the FAA and military controllers, said Capt. Tom Farris, commander of the Coast Guard's 11th District."
Informative,"According to a 2009 survey by the Center for American Progress, a think tank, the majority of millennials focus less than their parents on battles over sexual orientation and race."
Informative,"According to a source close to the negotiations, RBS is also ""near 100% certain"" to be putting its insurance division back on the market, including Churchill, Direct Line and Green Flag."
Informative,"According to Environment Commissioner Egbebike, local residents have also contributed to the problem."
Informative,"According to his son Qian Yonggang, the Kuomintang once invited Qian to come back but he refused."
Informative,"According to Nutt, tobacco should rank ninth, ahead of cannabis, LSD and ecstasy."
Informative,"According to one source, Mr Blair's proposed role for Tesco would simply have been to act as a figurehead for their drive to break into the Middle East market."
Informative,"According to Red Teeth, the Chandlers were being driven to Baxdo, an inland town along an extremely dusty and bumpy road about halfway between the coast and the main highway running through central Somalia."
Informative,"According to the complaint, Yee did not make any trades himself."
Informative,"According to the Shanghai Jiao Tong University Press, the press is currently compiling a picture album of Qian and a collection of his writings based on 800-plus-page documents retrieved from the U.S. National Archives, which include details about his encounters with the U.S. government and his trip back home."
Informative,A clouded electoral picture would further complicate the Obama administration's efforts to decide whether to send tens of thousands more troops to Afghanistan to battle the Taliban and its al-Qaida allies.
Informative,"ACMD report confirms advice that cannabis remain in Class C, but home secretary Jacqui Smith overrules it for the first time in its history and moves drug to Class B."
Informative,A committee of scientists advising the Department of Health is expected to recommend that the vaccination of 10 to 18-year-olds begins by the end of the year.
Informative,A convicted rapist who fled before police arrived to arrest him on new rape charges was arrested Saturday in his inner-city neighborhood after police found six decomposing bodies at his home.
Informative,"Across Yemen, the underground water sources that sustain 24 million people are running out, and some areas could be depleted in just a few years."
Informative,"Activity through October in each of the world's six cyclone basins, from the North Atlantic to the Indian Ocean, has been at or below historical levels."
Informative,"Adams, appointed in 2003 by then- Gov. Rod Blagojevich to lead the state's chief social services agency, was set to join the Department of Commerce and Economic Opportunity's Office of Trade and Investment in a newly created role as the ""Illinois representative to Africa."""
Informative,"Adams could not be reached for comment, and a phone number she listed at the top of her letter was temporarily disconnected."
Informative,"Adams says Chaudhry has a solid case, given the fact that none of the convictions are crimes that would make him ineligible for citizenship."
Informative,Adipic acid is primarily used in the production of nylon 6-6 and for manufacturing polyurethane foam and polyester resins.
Informative,"A diplomatic source said: ""Lord Ashcroft was part of the official party that was organised by Her Majesty's Opposition. His inclusion in the party certainly raised a few eyebrows in Washington, because he's a controversial figure."""
Informative,"A Downing Street staffer said: ""This is being taken very seriously. Diplomatic channels in the Foreign Office are working behind the scenes on David's behalf."""
Informative,"A dozen of the 50 Wal-Mart stores in Massachusetts, including the one in Raynham, are among the retailer's shops nationwide that will be remodeled by the end of the year."
Informative,"A few hours from now, tens of thousands of runners will hit New York streets."
Informative,"A few weeks earlier, one of Lozano's family members mockingly held up an official-looking document in Spanish, Hebert said."
Informative,"A few were Maoist sympathizers, the man on the motorcycle said, but most were wrongly swept up in the raid."
Informative,"A few years ago, officials built a jungle road that will soon make the school boats obsolete, giving children the option of walking or riding motorcycles to school."
Informative,Afghan electoral law says that any vote cast for a candidate who withdraws will not be counted.
Informative,"Afghan intelligence chief Amrullah Saleh said Afghan authorities had advance information that a Taliban attack in Kabul was in the works but was expected it during rush hour, and officials were unsure of the target."
Informative,"A flamboyant farmworker organizer who called himself a modern-day Emiliano Zapata has been slain in a brazen ambush that also killed 14 members of his family and staff, officials said Saturday."
Informative,A flotilla of rescue vessels continued its search Saturday for nine people feared dead at sea following an air collision between a Coast Guard aircraft and a Marine Corps helicopter.
Informative,A former chief of the state human services agency has decided not to accept a new job offered by Gov. Pat Quinn to head an expanded trade office in Africa.
Informative,"A former government chief scientific adviser, Sir David King, also said that Nutt had gone too far ."
Informative,A former top executive at hedge fund firm ValueAct Capital is one of seven people charged with trading on inside information in Acxiom Corp.
Informative,"After another crushing loss, Washington State coach Paul Wulff took away the almost bowl-like atmosphere as at least one positive."
Informative,"After a week in which Ashcroft's complex finances and use of offshore tax havens have come under renewed scrutiny, opposition MPs condemned David Cameron for allowing the peer to attend crucial meetings with Britain's closest and most important ally as the Tories shape foreign policy in preparation for government."
Informative,"""After Beijing was selected, as soon as the ink on the contract was dry, the International Olympic Committee ceded control of the Games to the Communist Party of China,"" said Wallechinsky."
Informative,"After consulting with all three parties that make up the national unity government, delegation head Oldemiro Baloi, the Mozambican Foreign Minister, told the media."
