Formality,Informativeness,Sentence
5,5,"Abbas, however, took part in a negotiating process launched at Annapolis in late 2007 by Obama's predecessor George W. Bush."
5,5,Abbas is fighting a perception among his people that he repeatedly caves in to U.S. demands.
4,4,"Abbas spokesman Nabil Abu Rdeneh, responding to Clinton's comments, said, ""There can be no excuse for the continuation of settlements, which is really the main obstacle in the way of any credible peace process."
6,6,Abbas suspended negotiations over Israel's offensive last December in the Gaza Strip.
4,4,"Abdullah canceled a planned trip to the Indian capital, Delhi, to attend a conference there Saturday."
4,4,"Abdullah complained Monday that there were no assurances that the November vote would be fairer than the first balloting and demanded that the head of the Karzai-appointed Independent Election Commission, Azizullah Lodin, be fired."
5,5,Abdullah has called a press conference for 10 a.m. Sunday to announce his final decision after Afghans and Westerners close to the challenger said he would withdraw.
5,5,A board of inquiry blamed the crash on several factors and ordered removal of the strobe lights.
5,5,"About 40 guests were at the Halloween party, aged between 59 and 77."
5,5,"About 40 miles from Laheri, a processing plant owned by Essar Steel has been closed for five months."
5,5,"About 60 oiled birds, about half that had died, were found at that site, according to the East Bay Regional Park District."
4,4,"About 75 percent of members voting nationwide rejected the deal, one of the people said."
6,6,"About a month ago, a woman accused Sowell of rape and felonious assault, Stacho said Friday."
6,6,"A British nuclear expert who fell from the 17th floor of a United Nations building did not commit suicide and may have been hurled to his death, says a doctor who carried out a second post-mortem examination."
6,6,A Canadian study showed marathoners' blood post-race was like that of a mild heart attack victim.
5,5,"Accident investigators who began arriving in San Diego on Saturday would review communications between the pilots and between the pilots and the FAA and military controllers, said Capt. Tom Farris, commander of the Coast Guard's 11th District."
5,5,"According to a 2009 survey by the Center for American Progress, a think tank, the majority of millennials focus less than their parents on battles over sexual orientation and race."
4,4,"According to a source close to the negotiations, RBS is also ""near 100% certain"" to be putting its insurance division back on the market, including Churchill, Direct Line and Green Flag."
3,3,"According to Environment Commissioner Egbebike, local residents have also contributed to the problem."
5,5,"According to his son Qian Yonggang, the Kuomintang once invited Qian to come back but he refused."
4,4,"According to Nutt, tobacco should rank ninth, ahead of cannabis, LSD and ecstasy."
3,3,"According to one source, Mr Blair's proposed role for Tesco would simply have been to act as a figurehead for their drive to break into the Middle East market."
4,4,"According to Red Teeth, the Chandlers were being driven to Baxdo, an inland town along an extremely dusty and bumpy road about halfway between the coast and the main highway running through central Somalia."
4,4,"According to the complaint, Yee did not make any trades himself."
